Udate,Close,High,Low,Open,Volume,Field7,LDate,LTime,pCalcIndx
1441223460,144.43,144.44,144.3836,144.42,13801,,9/2/2015,42249.61875,42249.61875
1441223520,144.41,144.43,144.38,144.42,13532,,9/2/2015,42249.61944,42249.61944
1441223580,144.53,144.56,144.44,144.44,23587,,9/2/2015,42249.62014,42249.62014
1441223640,144.57,144.64,144.52,144.54,20927,,9/2/2015,42249.62083,42249.62083
1441223700,144.535,144.64,144.53,144.57,25329,,9/2/2015,42249.62153,42249.62153
1441223760,144.71,144.73,144.56,144.56,26302,,9/2/2015,42249.62222,42249.62222
1441223820,144.72,144.81,144.7,144.72,21393,,9/2/2015,42249.62292,42249.62292
1441223880,144.85,144.9,144.72,144.73,30197,,9/2/2015,42249.62361,42249.62361
1441223940,144.8,144.88,144.72,144.88,27695,,9/2/2015,42249.62431,42249.62431
1441224000,145.05,145.08,144.79,144.81,63626,,9/2/2015,42249.625,42249.625
1441287000,146.1,146.33,145.99,146.05,75595,,9/3/2015,42250.35417,42250.35417
1441287060,146.02,146.11,145.77,146.0642,6663,,9/3/2015,42250.35486,42250.35486
1441287120,146.145,146.425,145.9,146.02,9564,,9/3/2015,42250.35556,42250.35556
1441287180,145.9001,146.23,145.9001,146.145,7815,,9/3/2015,42250.35625,42250.35625
1441287240,146.15,146.15,145.96,145.97,6704,,9/3/2015,42250.35694,42250.35694
1441287300,146.17,146.3,146.02,146.13,9601,,9/3/2015,42250.35764,42250.35764
1441287360,146.1201,146.26,146.09,146.18,3310,,9/3/2015,42250.35833,42250.35833
1441287420,146.17,146.29,146.08,146.2055,12066,,9/3/2015,42250.35903,42250.35903
1441287480,146.14,146.15,146.03,146.1301,4813,,9/3/2015,42250.35972,42250.35972
1441287540,146.11,146.3,146.0501,146.0501,7275,,9/3/2015,42250.36042,42250.36042
1441287600,146.167,146.24,146.13,146.13,6759,,9/3/2015,42250.36111,42250.36111
1441287660,146.21,146.33,146.2,146.23,5671,,9/3/2015,42250.36181,42250.36181
1441287720,146.21,146.28,146.03,146.26,18520,,9/3/2015,42250.3625,42250.3625
1441287780,146.21,146.33,146.14,146.2,22568,,9/3/2015,42250.36319,42250.36319
1441287840,146.07,146.225,146.03,146.2,4000,,9/3/2015,42250.36389,42250.36389
1441287900,146.27,146.27,146.1,146.1,1100,,9/3/2015,42250.36458,42250.36458
1441287960,146.23,146.39,146.22,146.3,6279,,9/3/2015,42250.36528,42250.36528
1441288020,146.095,146.3,146.09,146.28,13147,,9/3/2015,42250.36597,42250.36597
1441288080,145.93,146.1493,145.93,146.1052,8911,,9/3/2015,42250.36667,42250.36667
1441288140,146.11,146.15,145.99,145.99,13255,,9/3/2015,42250.36736,42250.36736
1441288200,146.12,146.14,145.9401,146.11,14831,,9/3/2015,42250.36806,42250.36806
1441288260,146.249,146.25,146.11,146.14,5362,,9/3/2015,42250.36875,42250.36875
